Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000012000-t36_1-p1	TM35_000012000-t36_1-p1	1	1	1	TM35_000012000-t36_1-p1 | transcript=TM35_000012000-t36_1 | gene=TM35_000012000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=Trypanosoma vivax | transcript_product=Trypanosoma vivax | location=NBCO01000001:260079-262991(+) | protein_len	1	1	1	1	1.6	1.6	1.6	112.2	970	970	1	-2	428420	1	+			52	2615	True	2669	3266	6202	6202	13;14	152;163
TM35_000012100-t36_1-p1;TM35_000012090-t36_1-p1	TM35_000012100-t36_1-p1;TM35_000012090-t36_1-p1	2;2	2;2	2;2	TM35_000012100-t36_1-p1 | transcript=TM35_000012100-t36_1 | gene=TM35_000012100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative 60S acidic ribosomal protein P2 | transcript_product=putative 60S acidic ribosomal protein P2 | locati	2	2	2	2	13.8	13.8	13.8	11.584	116	116;116	0	12.76	30885000	5				53	46;2613	True;True	47;2667	64;3264	127;128;6198;6199;6200	127;6199		
TM35_000012270-t36_1-p1	TM35_000012270-t36_1-p1	1	1	1	TM35_000012270-t36_1-p1 | transcript=TM35_000012270-t36_1 | gene=TM35_000012270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative arginine N-methyltransferase | transcript_product=putative arginine N-methyltransferase | location=NBC	1	1	1	1	3.4	3.4	3.4	45.073	417	417	0	27.848	785600	1				54	1817	True	1841	2267	4374	4374		
TM35_000012380-t36_1-p1	TM35_000012380-t36_1-p1	6	6	6	TM35_000012380-t36_1-p1 | transcript=TM35_000012380-t36_1 | gene=TM35_000012380 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:370282-371136(-) | prote	1	6	6	6	19	19	19	31.062	284	284	0	48.086	19757000	8				55	559;577;819;1015;1735;2484	True;True;True;True;True;True	564;582;827;1028;1756;2535	668;711;1012;1266;2152;3108	1237;1303;1304;1886;2441;2442;4133;5915	1237;1304;1886;2441;4133;5915		
TM35_000012770-t36_1-p1	TM35_000012770-t36_1-p1	1	1	1	TM35_000012770-t36_1-p1 | transcript=TM35_000012770-t36_1 | gene=TM35_000012770 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:486519-486956(-) | prote	1	1	1	1	8.3	8.3	8.3	16.918	145	145	0	10.553	5093800	1				56	3012	True	3072	3761	7121	7121		
TM35_000012970-t36_1-p1	TM35_000012970-t36_1-p1	1	1	1	TM35_000012970-t36_1-p1 | transcript=TM35_000012970-t36_1 | gene=TM35_000012970 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 | transcript_product=peptidyl-prolyl cis-trans isomerase	1	1	1	1	9.6	9.6	9.6	13.359	125	125	0	8.5315	540520	1				57	1893	True	1917	2357	4547	4547		
TM35_000013080-t36_1-p1	TM35_000013080-t36_1-p1	5	5	5	TM35_000013080-t36_1-p1 | transcript=TM35_000013080-t36_1 | gene=TM35_000013080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative serine/threonine protein kinase, putative,protein kinase | transcript_product=putative serine/threonin	1	5	5	5	23.4	23.4	23.4	55.859	501	501	0	36.919	7603700	6				58	289;447;1512;1844;2395	True;True;True;True;True	293;452;1531;1868;2440	354;538;1891;2296;2978	635;636;976;3640;4424;5672	635;976;3640;4424;5672		
TM35_000013140-t36_1-p1	TM35_000013140-t36_1-p1	1	1	1	TM35_000013140-t36_1-p1 | transcript=TM35_000013140-t36_1 | gene=TM35_000013140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=6-phospho-1-fructokinase | transcript_product=6-phospho-1-fructokinase | location=NBCO01000001:566915-568372(-)	1	1	1	1	2.1	2.1	2.1	53.678	485	485	0.0092379	5.6991	441560	1				59	4005	True	4077	5012	9554	9554		
TM35_000013170-t36_1-p1	TM35_000013170-t36_1-p1	7	7	7	TM35_000013170-t36_1-p1 | transcript=TM35_000013170-t36_1 | gene=TM35_000013170 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:573240-576332(-) | prote	1	7	7	7	11	11	11	114.98	1030	1030	0	62.274	10015000	18				60	1060;2666;2751;3058;3720;3779;3870	True;True;True;True;True;True;True	1074;2722;2807;3118;3791;3850;3941	1326;3339;3440;3823;3824;4680;4745;4746;4855	2563;2564;6325;6326;6503;6504;6505;7252;7253;7254;7255;8943;9045;9046;9047;9048;9049;9271	2564;6326;6504;7255;8943;9047;9271		
TM35_000013190-t36_1-p1;TM35_000013180-t36_1-p1	TM35_000013190-t36_1-p1;TM35_000013180-t36_1-p1	4;4	4;4	4;4	TM35_000013190-t36_1-p1 | transcript=TM35_000013190-t36_1 | gene=TM35_000013190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative 60S ribosomal protein L13 | transcript_product=putative 60S ribosomal protein L13 | location=NBCO01000	2	4	4	4	21.1	21.1	21.1	25.116	218	218;218	0	30.622	11070000	6				61	1270;1451;3030;3816	True;True;True;True	1287;1470;3090;3887	1591;1814;3784;4786	3063;3064;3473;7165;7166;9129	3063;3473;7166;9129		
TM35_000013200-t36_1-p1	TM35_000013200-t36_1-p1	3	3	3	TM35_000013200-t36_1-p1 | transcript=TM35_000013200-t36_1 | gene=TM35_000013200 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=heat shock protein 20 | transcript_product=heat shock protein 20 | location=NBCO01000001:578757-579182(-) | pro	1	3	3	3	24.8	24.8	24.8	15.768	141	141	0	22.331	6226300	4				62	513;893;2154	True;True;True	518;903;2181	617;1119;2680	1127;2143;2144;5164	1127;2144;5164		
TM35_000013310-t36_1-p1	TM35_000013310-t36_1-p1	3	3	3	TM35_000013310-t36_1-p1 | transcript=TM35_000013310-t36_1 | gene=TM35_000013310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=template-activating factor I | transcript_product=template-activating factor I | location=NBCO01000001:602120-6	1	3	3	3	17.7	17.7	17.7	21.13	186	186	0	46.562	2426300	4				63	402;993;2785	True;True;True	407;1005;2841	489;1236;3485	884;2391;2392;6589	884;2391;6589		
TM35_000013540-t36_1-p1;TM35_000013550-t36_1-p1	TM35_000013540-t36_1-p1;TM35_000013550-t36_1-p1	2;2	2;2	2;2	TM35_000013540-t36_1-p1 | transcript=TM35_000013540-t36_1 | gene=TM35_000013540 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:664171-664644(+) | prote	2	2	2	2	54.4	54.4	54.4	18.049	158	158;321	0	13.273	8531500	4				64	2048;3344	True;True	2075;3408	2553;4191;4192	4937;4938;7935;7936	4937;7935		
TM35_000013700-t36_1-p1	TM35_000013700-t36_1-p1	1	1	1	TM35_000013700-t36_1-p1 | transcript=TM35_000013700-t36_1 | gene=TM35_000013700 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative 25 kDa translation elongation factor 1-beta | transcript_product=putative 25 kDa translation elongatio	1	1	1	1	4.4	4.4	4.4	24.825	229	229	0	7.2199	276500	1				65	2535	True	2587	3167	6018	6018		
TM35_000181220-t36_1-p1;TM35_000013720-t36_1-p1	TM35_000181220-t36_1-p1;TM35_000013720-t36_1-p1	3;3	3;3	3;3	TM35_000181220-t36_1-p1 | transcript=TM35_000181220-t36_1 | gene=TM35_000181220 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=60S ribosomal protein L13a | transcript_product=60S ribosomal protein L13a | location=NBCO01000018:60630-61298(	2	3	3	3	14.4	14.4	14.4	25.372	222	222;222	0	23.315	2829700	4				66	282;3180;4122	True;True;True	286;3243;4195	347;3987;5164	625;7556;9839;9840	625;7556;9839		
TM35_000013970-t36_1-p1	TM35_000013970-t36_1-p1	2	2	2	TM35_000013970-t36_1-p1 | transcript=TM35_000013970-t36_1 | gene=TM35_000013970 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:766767-767543(-) | prote	1	2	2	2	12.4	12.4	12.4	29.615	258	258	0	11.421	834610	2				67	2522;3771	True;True	2573;3842	3152;4736	5984;9031	5984;9031		
TM35_000014110-t36_1-p1	TM35_000014110-t36_1-p1	7	7	7	TM35_000014110-t36_1-p1 | transcript=TM35_000014110-t36_1 | gene=TM35_000014110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:797617-798141(-) | prote	1	7	7	7	29.3	29.3	29.3	19.86	174	174	0	45.327	57577000	21				68	1343;2361;2417;2692;2951;4074;4075	True;True;True;True;True;True;True	1362;2396;2397;2467;2748;3009;4146;4147	1676;2925;2926;3016;3368;3685;5096;5097	3190;5582;5583;5584;5739;5740;6368;6961;6962;6963;6964;6965;6966;6967;6968;6969;6970;9702;9703;9704;9705	3190;5582;5740;6368;6965;9703;9704	15	1
TM35_000014310-t36_1-p1	TM35_000014310-t36_1-p1	1	1	1	TM35_000014310-t36_1-p1 | transcript=TM35_000014310-t36_1 | gene=TM35_000014310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:858192-860075(-) | prote	1	1	1	1	1.9	1.9	1.9	70.188	627	627	0	7.1226	888920	2				69	2574	True	2628	3220	6118;6119	6118		
TM35_000014370-t36_1-p1;TM35_000014360-t36_1-p1	TM35_000014370-t36_1-p1;TM35_000014360-t36_1-p1	2;1	2;1	2;1	TM35_000014370-t36_1-p1 | transcript=TM35_000014370-t36_1 | gene=TM35_000014370 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=D-isomer specific 2-hydroxyacid dehydrogenase-protein | transcript_product=D-isomer specific 2-hydroxyacid dehy	2	2	2	2	8.7	8.7	8.7	38.604	346	346;361	0	11.749	330570	2				70	1129;2074	True;True	1143;2101	1412;2588	2754;4993	2754;4993	16	185
TM35_000014500-t36_1-p1	TM35_000014500-t36_1-p1	8	8	8	TM35_000014500-t36_1-p1 | transcript=TM35_000014500-t36_1 | gene=TM35_000014500 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=flagellar associated protein | transcript_product=flagellar associated protein | location=NBCO01000001:921623-9	1	8	8	8	51.3	51.3	51.3	16.61	152	152	0	58.533	70563000	17				71	195;1053;2437;2438;3300;3305;3457;3982	True;True;True;True;True;True;True;True	198;1066;2488;2489;3363;3368;3522;4053	242;1311;3042;3043;4138;4145;4334;4335;4983	449;450;451;452;2515;2516;5786;5787;5788;7844;7859;8236;8237;8238;9502;9503;9504	450;2515;5787;5788;7844;7859;8237;9503	17	92
TM35_000015080-t36_1-p1	TM35_000015080-t36_1-p1	3	3	3	TM35_000015080-t36_1-p1 | transcript=TM35_000015080-t36_1 | gene=TM35_000015080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=centrin | transcript_product=centrin | location=NBCO01000001:1079587-1080132(-) | protein_length=181 | sequence	1	3	3	3	16	16	16	20.924	181	181	0	20.008	5037500	4				72	176;1257;3357	True;True;True	179;1274;3421	220;1574;4214	409;3033;3034;7972	409;3033;7972		
TM35_000015190-t36_1-p1;TM35_000251070-t36_1-p1	TM35_000015190-t36_1-p1;TM35_000251070-t36_1-p1	5;3	5;3	5;3	TM35_000015190-t36_1-p1 | transcript=TM35_000015190-t36_1 | gene=TM35_000015190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ribosomal protein L35A | transcript_product=ribosomal protein L35A | location=NBCO01000001:1110619-1111068(-) |	2	5	5	5	31.5	31.5	31.5	16.774	149	149;142	0	33.011	4140000	6				73	600;1293;1677;3063;4055	True;True;True;True;True	605;1311;1697;3123;4127	739;1618;2088;3829;5075	1351;1352;3102;4020;7263;9670	1352;3102;4020;7263;9670		
TM35_000015290-t36_1-p1	TM35_000015290-t36_1-p1	11	11	11	TM35_000015290-t36_1-p1 | transcript=TM35_000015290-t36_1 | gene=TM35_000015290 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:1133506-1136250(+) | pro	1	11	11	11	14.7	14.7	14.7	106.37	914	914	0	95.29	7486000	13				74	268;995;1036;1544;2182;2278;2490;2855;3072;4121;4124	True;True;True;True;True;True;True;True;True;True;True	272;1007;1049;1563;2211;2309;2541;2911;3132;4194;4197	331;1238;1289;1929;2714;2820;3115;3571;3839;5163;5166	598;599;2394;2476;3693;5222;5399;5400;5929;6742;7279;9838;9842	599;2394;2476;3693;5222;5399;5929;6742;7279;9838;9842		
TM35_000015550-t36_1-p1	TM35_000015550-t36_1-p1	1	1	1	TM35_000015550-t36_1-p1 | transcript=TM35_000015550-t36_1 | gene=TM35_000015550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ribosomal protein S19 | transcript_product=ribosomal protein S19 | location=NBCO01000001:1202839-1203342(+) | p	1	1	1	1	7.8	7.8	7.8	18.826	167	167	0	6.2135	787660	1				75	1590	True	1610	1983	3803	3803		
TM35_000015580-t36_1-p1	TM35_000015580-t36_1-p1	3	3	3	TM35_000015580-t36_1-p1 | transcript=TM35_000015580-t36_1 | gene=TM35_000015580 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative regulatory subunit of protein kinase a-like protein | transcript_product=putative regulatory subunit o	1	3	3	3	4.2	4.2	4.2	65.228	573	573	0	34.856	2976800	6				76	2023;2995;3301	True;True;True	2050;3053;3364	2522;3741;4139;4140	4869;7086;7845;7846;7847;7848	4869;7086;7846		
TM35_000015640-t36_1-p1	TM35_000015640-t36_1-p1	8	8	8	TM35_000015640-t36_1-p1 | transcript=TM35_000015640-t36_1 | gene=TM35_000015640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ribosomal protein L13 | transcript_product=ribosomal protein L13 | location=NBCO01000001:1218470-1219753(+) | p	1	8	8	8	21.5	21.5	21.5	48.628	427	427	0	66.826	12937000	13				77	468;1273;1727;1783;3508;3725;3889;4065	True;True;True;True;True;True;True;True	473;1290;1747;1806;3574;3796;3960;4137	565;566;1594;2141;2223;2224;4405;4686;4876;5087	1031;1032;3069;4119;4306;4307;4308;8373;8374;8955;8956;9307;9685	1031;3069;4119;4306;8374;8955;9307;9685		
TM35_000016280-t36_1-p1	TM35_000016280-t36_1-p1	2	2	2	TM35_000016280-t36_1-p1 | transcript=TM35_000016280-t36_1 | gene=TM35_000016280 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:1352114-1353250(+) | pro	1	2	2	2	6.6	6.6	6.6	42.378	378	378	0	19.61	5915500	2				78	3690;3706	True;True	3761;3777	4640;4660	8876;8903	8876;8903		
TM35_000016330-t36_1-p1	TM35_000016330-t36_1-p1	1	1	1	TM35_000016330-t36_1-p1 | transcript=TM35_000016330-t36_1 | gene=TM35_000016330 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative peroxisome biogenesis factor 1 | transcript_product=putative peroxisome biogenesis factor 1 | location	1	1	1	1	1.9	1.9	1.9	100.62	909	909	1	-2	5995300	1	+			79	2982	True	3040	3724	7060	7060	18	868
TM35_000016420-t36_1-p1	TM35_000016420-t36_1-p1	2	2	2	TM35_000016420-t36_1-p1 | transcript=TM35_000016420-t36_1 | gene=TM35_000016420 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ankyrin | transcript_product=ankyrin | location=NBCO01000001:1384673-1385695(+) | protein_length=340 | sequence	1	2	2	2	9.1	9.1	9.1	36.93	340	340	0	19.212	1749000	3				80	1813;3904	True;True	1837;3975	2262;4892	4366;9336;9337	4366;9336		
TM35_000016430-t36_1-p1	TM35_000016430-t36_1-p1	6	6	6	TM35_000016430-t36_1-p1 | transcript=TM35_000016430-t36_1 | gene=TM35_000016430 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:1386008-1388110(+) | pro	1	6	6	6	11.1	11.1	11.1	77.772	700	700	0	54.313	3928600	11				81	393;394;558;2353;2728;2729	True;True;True;True;True;True	398;399;563;2385;2784;2785	479;480;667;2914;3414;3415	866;867;868;869;870;871;1236;5568;5569;6455;6456	866;869;1236;5569;6455;6456		
TM35_000016490-t36_1-p1	TM35_000016490-t36_1-p1	1	1	1	TM35_000016490-t36_1-p1 | transcript=TM35_000016490-t36_1 | gene=TM35_000016490 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=patatin family phospholipase | transcript_product=patatin family phospholipase | location=NBCO01000001:1399696-	1	1	1	1	1.5	1.5	1.5	59.518	522	522	0.0092166	5.6933	747130	1				82	692	True	699	858	1586	1586		
TM35_000054000-t36_1-p1;TM35_000016530-t36_1-p1	TM35_000054000-t36_1-p1;TM35_000016530-t36_1-p1	2;2	2;2	2;2	TM35_000054000-t36_1-p1 | transcript=TM35_000054000-t36_1 | gene=TM35_000054000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ribosomal protein L21E (60S) | transcript_product=ribosomal protein L21E (60S) | location=NBCO01000005:811724-8	2	2	2	2	10.7	10.7	10.7	18.136	159	159;159	0	12.431	3493800	2				83	2633;3471	True;True	2687;3536	3291;4352	6251;8278	6251;8278		
TM35_000016710-t36_1-p1	TM35_000016710-t36_1-p1	1	1	1	TM35_000016710-t36_1-p1 | transcript=TM35_000016710-t36_1 | gene=TM35_000016710 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=TPR protein | transcript_product=TPR protein | location=NBCO01000001:1442676-1443446(+) | protein_length=256 | 	1	1	1	1	3.9	3.9	3.9	29.057	256	256	0.0092664	5.7149	0	1				84	2137	True	2164	2661	5133	5133		
TM35_000021000-t36_1-p1;TM35_000241010-t36_1-p1	TM35_000021000-t36_1-p1;TM35_000241010-t36_1-p1	1;1	1;1	1;1	TM35_000021000-t36_1-p1 | transcript=TM35_000021000-t36_1 | gene=TM35_000021000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative retrotransposon hot spot (RHS) protein | transcript_product=putative retrotransposon hot spot (RHS) pr	2	1	1	1	6.8	6.8	6.8	21.342	190	190;378	0	7.9622	261560	3				85	946	True	957	1183	2276;2277;2278	2276		
TM35_000021070-t36_1-p1	TM35_000021070-t36_1-p1	2	2	2	TM35_000021070-t36_1-p1 | transcript=TM35_000021070-t36_1 | gene=TM35_000021070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000002:22415-23533(-) | protein	1	2	2	2	8.3	8.3	8.3	41.446	372	372	0	17.297	1166100	4				86	1304;2213	True;True	1322;2243	1631;2746;2747	3120;5269;5270;5271	3120;5269		
TM35_000021390-t36_1-p1	TM35_000021390-t36_1-p1	1	1	1	TM35_000021390-t36_1-p1 | transcript=TM35_000021390-t36_1 | gene=TM35_000021390 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=60S ribosomal protein L35 | transcript_product=60S ribosomal protein L35 | location=NBCO01000002:106921-107304(	1	1	1	1	8.7	8.7	8.7	15.342	127	127	0	8.2388	305690	1				87	3744	True	3815	4709	8988	8988		
TM35_000021430-t36_1-p1	TM35_000021430-t36_1-p1	1	1	1	TM35_000021430-t36_1-p1 | transcript=TM35_000021430-t36_1 | gene=TM35_000021430 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000002:113038-116403(-) | prote	1	1	1	1	0.9	0.9	0.9	130.8	1121	1121	1	-2	7592000	1	+			88	2850	True	2906	3565	6735	6735	19	63
TM35_000021620-t36_1-p1	TM35_000021620-t36_1-p1	2	2	2	TM35_000021620-t36_1-p1 | transcript=TM35_000021620-t36_1 | gene=TM35_000021620 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000002:173632-173904(-) | prote	1	2	2	2	42.9	42.9	42.9	9.0259	91	91	0	20.658	1169700	3				89	345;3865	True;True	349;3936	417;4848	752;9255;9256	752;9255		
TM35_000021630-t36_1-p1	TM35_000021630-t36_1-p1	2	2	2	TM35_000021630-t36_1-p1 | transcript=TM35_000021630-t36_1 | gene=TM35_000021630 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative microtubule-associated protein Gb4 | transcript_product=putative microtubule-associated protein Gb4 | 	1	2	2	2	4.1	4.1	4.1	122.82	1113	1113	0	12.311	597190	3				90	1019;1020	True;True	1032;1033	1270;1271	2447;2448;2449	2447;2449		
TM35_000021870-t36_1-p1	TM35_000021870-t36_1-p1	1	1	1	TM35_000021870-t36_1-p1 | transcript=TM35_000021870-t36_1 | gene=TM35_000021870 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative mitotubule-associated protein Gb4 | transcript_product=putative mitotubule-associated protein Gb4 | lo	1	1	1	1	5.6	5.6	5.6	34.27	301	301	0	6.6251	227730	1				91	3153	True	3216	3953	7484	7484		
TM35_000021890-t36_1-p1	TM35_000021890-t36_1-p1	14	14	14	TM35_000021890-t36_1-p1 | transcript=TM35_000021890-t36_1 | gene=TM35_000021890 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000002:249847-252360(-) | prote	1	14	14	14	20	20	20	95.13	837	837	0	155.1	147090000	43				92	41;153;813;814;878;1101;2108;2476;3315;3691;3869;3887;3950;4094	True;True;True;True;True;True;True;True;True;True;True;True;True;True	42;156;821;822;887;888;1115;2135;2527;3378;3379;3762;3940;3958;4021;4167	58;194;1004;1005;1006;1007;1094;1095;1379;1380;2631;3098;4158;4159;4160;4641;4642;4854;4874;4946;5124;5125;5126	115;116;362;1863;1864;1865;1866;1867;1868;1869;2092;2093;2094;2095;2678;2679;2680;5087;5898;5899;5900;7882;7883;7884;7885;7886;7887;7888;7889;8877;8878;8879;9270;9305;9421;9422;9752;9753;9754;9755;9756;9757;9758	116;362;1863;1864;2093;2678;5087;5899;7889;8877;9270;9305;9421;9754	20	736
TM35_000022000-t36_1-p1	TM35_000022000-t36_1-p1	1	1	1	TM35_000022000-t36_1-p1 | transcript=TM35_000022000-t36_1 | gene=TM35_000022000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative transmembrane transport protein | transcript_product=putative transmembrane transport protein | locati	1	1	1	1	2.9	2.9	2.9	68.096	620	620	0.009245	5.7074	2531100	1				93	1294	True	1312	1619	3103	3103		
TM35_000651020-t36_1-p1;TM35_000022220-t36_1-p1	TM35_000651020-t36_1-p1;TM35_000022220-t36_1-p1	4;4	4;4	4;4	TM35_000651020-t36_1-p1 | transcript=TM35_000651020-t36_1 | gene=TM35_000651020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=cytochrome c oxidase subunit V | transcript_product=cytochrome c oxidase subunit V | location=NBCO01000065:4177	2	4	4	4	28.1	28.1	28.1	22.275	196	196;196	0	35.123	25715000	9				94	1321;1329;3134;3793	True;True;True;True	1340;1348;3196;3864	1651;1659;1660;3932;4760	3155;3166;3167;3168;7455;9074;9075;9076;9077	3155;3168;7455;9076		
TM35_000022350-t36_1-p1	TM35_000022350-t36_1-p1	1	1	1	TM35_000022350-t36_1-p1 | transcript=TM35_000022350-t36_1 | gene=TM35_000022350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000002:378723-379136(+) | prote	1	1	1	1	8	8	8	15.793	137	137	1	-2	301390	1	+			95	2032	True	2059	2532	4897	4897	21	55
